player_id,real_name,player_dob,player_position,place_of_birth,nationality,height_ft,height_cm,weight_st,weight_kg
70228,Aaron Chapman,1990-05-29,Goalkeeper,Rotherham,England,6ft 7in,200.99999999999997,,
52497,Andy Cook,1990-10-18,Forward,"Bishop Auckland, England",England,6ft 1in,185.0,11st 3lb,71.2
33325,Neil Danns,1982-11-23,Midfielder,Liverpool,Guyana,5ft 7in,170.0,12st 1lb,76.64
107023,Morgan Feeney,1999-02-08,Defender,Bootle,England,6ft 2in,188.0,,
99454,Harvey Gilmour,1998-12-15,Midfielder,Sheffield,England,,,,
81732,Rushian Hepburn-Murphy,1998-08-28,Forward,Birmingham,England,,,,
97829,Jacob Maddox,1998-11-03,Midfielder,Bristol,England,,,,
69031,Luke McCullough,1994-02-15,Defender,Portadown,Northern Ireland,,,,
70542,Paul Mullin,1994-11-06,Forward,Liverpool,England,5ft 10in,178.0,11st 2lb,70.75
128731,Harrison Musuamba,2002-05-20,Defender,Liverpool,England,,,,
115884,Bailey Passant,2000-11-29,Goalkeeper,Liverpool,England,6ft 4in,193.0,,
22779,David Perkins,1982-06-21,Midfielder,England,England,6ft 2in,188.0,12st,76.19
73677,Luke Pilling,1997-07-25,Goalkeeper,England,Wales,6ft 1in,185.0,,
104291,Jordan Ponticelli,1998-09-10,Forward,,England,5ft 10in,178.0,,
35630,Darren Potter,1984-12-21,Midfielder,Liverpool,Ireland,6ft,183.0,11st 10lb,74.38
128730,Lewis Sinnot,2002-03-04,Defender,Liverpool,England,,,,
111842,Carl Spellman,2000-11-06,Midfielder,Liverpool,England,5ft 7in,170.0,,
121908,Bailey Thompson,2001-06-07,Midfielder,Bury,England,,,,
92840,Kane Wilson,2000-03-11,Midfielder,,England,,,,
44052,Calum Woods,1987-02-05,Defender,England,England,5ft 11in,180.0,11st 7lb,73.02
54534,Alex Woodyard,1993-05-03,Midfielder,Gravesend,England,5ft 8in,173.0,,
115214,Franklyn Akammadu,1998-08-11,Forward,"Padova, Italy",Italy,,,,
44204,Zoumana Bakayogo,1986-08-17,Defender,France,Ivory Coast,5ft 9in,175.0,10st 12lb,68.94
58164,Adam Buxton,1992-05-12,Defender,Liverpool,England,6ft 1in,185.0,,
62460,Larnell Cole,1993-03-09,Midfielder,Manchester,England,,,,
36344,Chris Dagnall,1986-04-15,Forward,Liverpool,England,5ft 8in,173.0,11st 8lb,73.47
114197,Jay Devine,1999-07-26,Midfielder,,England,,,,
92850,Shamal George,1998-01-06,Goalkeeper,England,England,,,,
77160,Evan Gumbs,1997-07-21,Defender,Runcorn,England,5ft 8in,173.0,,
43779,Jay Harris,1987-04-15,Midfielder,Liverpool,England,5ft 7in,170.0,11st,69.84
111843,Nick Long,,Midfielder,,England,,,,
52777,Steve McNulty,1983-09-26,Defender,,England,6ft 1in,185.0,13st 12lb,87.98
41710,Ishmael Miller,1987-03-05,Forward,Manchester,England,6ft 3in,191.0,13st 8lb,86.17
78694,Dylan Mottley Henry,1997-08-02,Midfielder,"Leeds, England",England,,,,
51911,James Norwood,1990-10-24,Forward,England,England,5ft 9in,175.0,,
51654,Ben Pringle,1989-07-25,Midfielder,Newcastle upon Tyne,England,6ft 1in,185.0,11st 9lb,73.92
90268,Jonny Smith,1997-07-28,Forward,England,England,,,,
63703,Cole Stockton,1994-03-13,Forward,,England,,,,
44409,Richard Sutton,1986-04-29,Defender,,England,6ft,183.0,11st 5lb,72.11
86076,Ben Tollitt,1994-11-30,Forward,England,England,6ft 2in,188.0,,
102631,Paddy Wharton,2000-05-27,Goalkeeper,,England,,,,
49915,Ryan Williams,1991-04-08,Midfielder,"Birkenhead, England",England,5ft 7in,170.0,11st 11lb,74.83
69292,James Alabi,1994-11-08,Forward,"London, England",England,,,,
98638,Eddie Clarke,1998-12-29,Defender,England,England,,,,
111841,James Devine,,Midfielder,,,,,,
102629,Declan Drysdale,1999-11-14,Defender,Birkenhead,England,,,,
80683,Mitch Duggan,1997-03-20,Defender,,England,,,,
80291,Jack Dunn,1994-11-19,Forward,,England,,,,
75869,Josh Ginnelly,1997-03-24,Forward,Coventry,England,5ft 8in,173.0,,
80289,Devarn Green,1996-08-26,Midfielder,England,England,,,,
41945,Jeff Hughes,1985-05-29,Midfielder,Larne,Northern Ireland,6ft,183.0,11st 2lb,70.75
89457,Josh Kay,1997-01-30,Midfielder,England,England,,,,
65015,Jake Kirby,1994-05-09,Midfielder,Liverpool,England,,,,
38248,Andy Mangan,1986-08-30,Forward,Liverpool,England,5ft 9in,175.0,10st 3lb,64.85
87751,Gerry McDonagh,1998-02-14,Forward,Republic of Ireland,Ireland,,,,
33803,James McEveley,1985-02-11,Defender,Liverpool,Scotland,6ft,183.0,13st 3lb,83.9
62490,Oliver Norburn,1992-10-26,Midfielder,Leicester,Grenada,6ft 1in,185.0,,
104475,Elliot Rokka,1996-03-16,Midfielder,England,England,,,,
102628,Josh Solomon-Davies,1999-11-20,Defender,,St. Lucia,,,,
48375,Rhys Taylor,1990-04-07,Goalkeeper,Neath,Wales,6ft 1in,185.0,13st 3lb,83.9
77908,Drissa Traore,1992-03-25,Midfielder,,Ivory Coast,5ft 8in,173.0,,
49717,James Wallace,1991-12-19,Midfielder,Liverpool,England,5ft 10in,178.0,11st 5lb,72.11
80602,George Waring,1994-12-02,Defender,,England,,,,
102632,Udoyen Akpan,1999-02-10,Forward,,England,,,,
51974,Louis Almond,1992-01-05,Forward,England,England,5ft 11in,180.0,12st,76.19
78063,Aaron Collins,1997-05-27,Forward,"Newport, Wales",Wales,,,,
102626,Tom Coughan,,Midfielder,,England,,,,
66040,Adam Dawson,1992-10-05,Midfielder,,England,,,,
102625,James Divine,,Midfielder,,England,,,,
102633,Jack Flemming,,Midfielder,,England,,,,
71423,Michael Ihiekwe,1992-11-20,Defender,England,England,6ft 1in,185.0,,
36541,Steven Jennings,1984-10-28,Midfielder,Liverpool,England,5ft 5in,165.0,12st 1lb,76.64
89957,Ethan Jones,1998-04-04,Forward,England,England,,,,
71520,Lois Maynard,1989-01-22,Defender,England,St Kitts & Nevis,,,,
52480,Adam Mekki,1991-12-24,Midfielder,England,Wales,,,,
88950,Elliot Osborne,1996-05-12,Midfielder,,England,,,,
